p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Nolc1	4.82202576386542e-06	0.166710640944137	0.315	0.211	0.0798816788041946
Pes1	5.02473829266832e-06	0.156516570498165	0.189	0.109	0.0832398145563435
Tsn	5.04200852425785e-06	0.218322758256968	0.569	0.468	0.0835259132128556
Colgalt1	5.15810938599148e-06	0.152655538067248	0.205	0.121	0.0854492400883348
Pttg1	5.16559249995481e-06	-0.290327496171446	0.579	0.647	0.0855732053542514
Hist1h1d	5.22922460352e-06	-0.200913877162684	0.086	0.147	0.0866273347819123
Socs1	5.2335390667627e-06	-0.26751519509904	0.458	0.528	0.0866988081799909
Glrx3	5.2603120183812e-06	0.224269204263798	0.49	0.383	0.087142328896503
Atp5k	5.33113619424214e-06	-0.278886281932792	0.416	0.475	0.0883156021938152
Polr2b	5.40848601738349e-06	0.177090613333426	0.192	0.11	0.0895969793639748
Ndufb8	5.43837481853729e-06	0.211131269495404	0.705	0.637	0.0900921172438887
Cd247	5.6659924130828e-06	-0.312718343749923	0.526	0.585	0.0938628303151296
Epb41l2	5.66923871583664e-06	0.286126844908152	0.314	0.221	0.0939166085665498
AI506816	5.68397166108475e-06	0.189348332282766	0.279	0.185	0.09416067453753
Elf4	5.70744677130017e-06	-0.240872191465877	0.224	0.3	0.0945495632133586
Magoh	5.7893140626348e-06	0.201247197103535	0.662	0.557	0.095905776761608
Klc1	5.81042580439856e-06	0.133752314334888	0.178	0.099	0.0962555138756665
Nrp1	5.83054052868291e-06	0.184489379145899	0.185	0.104	0.0965887343981611
Lpcat3	5.83870183331862e-06	0.126514926331291	0.118	0.054	0.0967239345707562
Trbc1	5.95577259261002e-06	0.367345160241669	0.63	0.517	0.0986633287691776
Mrpl15	5.98898668427845e-06	0.182119038719296	0.425	0.314	0.0992135534117568
Gadd45b	6.21088680819609e-06	-0.348411903866265	0.6	0.667	0.102889550864576
Xcl1	6.28764074524378e-06	-0.0332652334884638	0.445	0.325	0.104161056585709
Snrpg	6.39240803791361e-06	-0.197815416512045	0.888	0.897	0.105896631556077
Uhrf2	6.40568202079334e-06	0.26595807811932	0.65	0.573	0.106116528356462
Cggbp1	6.41222551057783e-06	-0.253202068110405	0.572	0.625	0.106224927808232
Phf23	6.64427345339986e-06	-0.205414228358399	0.092	0.153	0.110069034029022
Prdx6	6.78186515380669e-06	0.210456433816308	0.928	0.882	0.112348378137962
Atf4	6.87053596342058e-06	-0.180995134768847	0.777	0.826	0.113817298770025
Faim	6.99436349216416e-06	0.177519758999412	0.37	0.262	0.115868625611191
Sh3bgrl	7.0153092336115e-06	0.194720843704671	0.334	0.237	0.116215612764008
Npm3	7.01768599403156e-06	0.230668816453417	0.516	0.412	0.116254986177127
Fez2	7.0447042775858e-06	-0.214995035179885	0.084	0.144	0.116702571062486
C1qtnf12	7.13157728704415e-06	0.140725677338347	0.121	0.057	0.118141709337173
Pgrmc1	7.15256241607227e-06	0.187127133318891	0.364	0.259	0.118489348984653
Phf10	7.30258559181993e-06	0.142597847554909	0.144	0.074	0.120974632914089
Atxn7	7.40998063054799e-06	0.181662050739591	0.292	0.192	0.122753739125658
Ndufc2	7.43374543508927e-06	0.217225841044624	0.619	0.524	0.123147426877689
Tmbim4	7.46425566160297e-06	0.176757720680595	0.471	0.358	0.123652859290115
Sp110	7.56439297428802e-06	-0.22763125578397	0.46	0.543	0.125311734012055
Casp8	7.59977331440981e-06	-0.320764091030891	0.424	0.481	0.125897844726513
Pno1	7.77108112701573e-06	0.144056838737879	0.191	0.11	0.128735729950143
Klk8	7.90988103284434e-06	0.297005720709989	0.456	0.361	0.131035089190099
Exosc4	7.95921062677991e-06	-0.255103424786967	0.253	0.328	0.131852283243236
Rasgef1b	8.02570265416552e-06	-0.197332072763504	0.051	0.101	0.132953790168906
Tex2	8.02879072782418e-06	0.224767298107055	0.295	0.2	0.133004947197135
Ptpn1	8.05996867089837e-06	0.243871655879386	0.637	0.546	0.133521441002102
Lyn	8.1177818814728e-06	0.157491386894829	0.201	0.12	0.134479174648478
Plk3	8.44203074364799e-06	-0.217521483668298	0.16	0.235	0.139850681299273
Rfk	8.52278730340839e-06	0.174226425133027	0.284	0.186	0.141188494468263
Flna	8.76185605102564e-06	0.221606593811898	0.443	0.339	0.145148907341291
Rasgrp2	8.8174378993076e-06	-0.181689696764162	0.152	0.23	0.14606967623993
Tusc3	8.83462130413546e-06	0.163768735833743	0.309	0.21	0.146354336524308
Arpc1b	8.85554750992468e-06	0.141624482355758	0.928	0.918	0.146701000049412
Hexim1	9.10905519131458e-06	0.216935082065787	0.407	0.304	0.150900608299317
Wdr36	9.13093664360198e-06	0.142081044442268	0.2	0.118	0.15126309643791
Cltb	9.33813994766992e-06	0.178959578976658	0.244	0.158	0.1546956263731
Dnaja2	9.341906657308e-06	0.170648606474856	0.618	0.513	0.154758025684964
Rinl	9.34374060582743e-06	-0.285445244230401	0.526	0.584	0.154788406876137
Ehd3	9.56269665153928e-06	-0.220943311694274	0.141	0.215	0.1584156327294
Magt1	9.71376480909305e-06	0.196815980181941	0.265	0.177	0.160918227827436
Trib1	9.94351209439593e-06	-0.180339324054391	0.142	0.218	0.164724221355763
Slc5a3	1.00371077316046e-05	0.243793683516266	0.167	0.093	0.166274726681762
Sqstm1	1.00533517825478e-05	0.230948329085766	0.719	0.637	0.166543825629686
Cd160	1.01011779233892e-05	0.235880188973992	0.33	0.233	0.167336113478865
Col4a3bp	1.01600708071782e-05	0.215912334482848	0.304	0.211	0.168311732991713
Prmt1	1.02249935281888e-05	0.190038974873179	0.474	0.364	0.169387242787975
Fam110a	1.04464743424588e-05	0.218703671897028	0.354	0.251	0.173056293957172
Atp5o	1.06874361433314e-05	0.192550380843604	0.765	0.702	0.177048067150427
Cops3	1.09323864703968e-05	0.161240756656856	0.258	0.169	0.181105914268593
Unc50	1.12030183518416e-05	0.148084968461377	0.308	0.208	0.185589202016608
Eprs	1.13595536565129e-05	0.208927119308739	0.466	0.36	0.188182365873793
Smndc1	1.14576092858374e-05	-0.24952683930757	0.456	0.527	0.189806755429183
Slc43a2	1.14722431853128e-05	-0.138045831830001	0.074	0.131	0.190049180607891
Acbd6	1.15011731619925e-05	0.195630768720081	0.44	0.339	0.190528434601568
Chd3	1.15378369765773e-05	-0.278499599980574	0.35	0.426	0.19113580735398
Apobec1	1.15949873987902e-05	-0.194892609692888	0.07	0.125	0.192082561248358
Lef1	1.16074306734021e-05	-0.229120110236205	0.235	0.323	0.19228869653558
Nin	1.16466174943571e-05	0.207639116808486	0.349	0.251	0.192937865411519
Pkm	1.16630125519226e-05	0.206041743386475	0.864	0.828	0.19320946593515
Ago2	1.17176441755385e-05	0.230041418052039	0.621	0.513	0.19411449341197
Snhg12	1.18233127631406e-05	-0.230987189133927	0.436	0.508	0.195864999234187
Lyar	1.18265951105276e-05	0.172399258491733	0.331	0.23	0.195919374601
Mt1	1.1908637764678e-05	0.614085218486707	0.251	0.174	0.197278493209656
Timm21	1.19956871851479e-05	0.107174054800736	0.115	0.054	0.198720553909161
Myc	1.20091966519789e-05	-0.320025223306077	0.081	0.137	0.198944351736682
Gna11	1.2016118502771e-05	0.111328395430024	0.125	0.062	0.199059019116905
Hexa	1.21028526766373e-05	0.139628781810689	0.192	0.114	0.200495857441174
Ndfip2	1.23033906623529e-05	0.196574298088685	0.599	0.497	0.203817969712538
Atf7ip	1.2308497709457e-05	-0.269464385430206	0.409	0.478	0.203902573054865
Arhgef3	1.26759121559929e-05	-0.180438928262233	0.172	0.249	0.209989160776179
Gbp6	1.31557443595064e-05	-0.299205765484138	0.42	0.487	0.217938061059583
Wdr48	1.36875412596652e-05	0.132559235155106	0.185	0.107	0.226747808507614
Ube2e3	1.36994277214487e-05	0.204103202354272	0.298	0.205	0.226944719633518
Slamf6	1.38125181176652e-05	-0.237087915015059	0.096	0.159	0.228818175137242
Dot1l	1.38251798323178e-05	0.262470326024922	0.303	0.213	0.229027929102177
Serbp1	1.38671420138816e-05	0.164853859111695	0.907	0.882	0.229723074601962
Elovl5	1.39702066749568e-05	0.278993692052452	0.322	0.232	0.231430443777335
Ifrd1	1.40511711266577e-05	0.18643544493783	0.806	0.719	0.232771700884212
Smpdl3b	1.43404763665223e-05	0.126541858636045	0.118	0.057	0.237564331487809
Atp5md	1.43807309871641e-05	-0.284597794086941	0.72	0.748	0.238231189533361
Trak2	1.52258112031991e-05	0.141816953348705	0.158	0.087	0.252230788392196
Ndufa2	1.52485573227054e-05	-0.223724061286143	0.742	0.765	0.252607600607938
Tmem147	1.5444053664506e-05	0.20508962218731	0.333	0.241	0.255846193006207
Mmd	1.55202012863172e-05	0.238787880680586	0.242	0.158	0.25710765450913
Casp3	1.57934686020913e-05	-0.337886652096248	0.527	0.56	0.261634600862245
Anp32e	1.58957849660349e-05	0.164434973889942	0.493	0.374	0.263329573747335
Taf1d	1.5999142606017e-05	-0.269878470918591	0.483	0.546	0.265041796411277
Tmem115	1.62198154706856e-05	0.149353215639425	0.25	0.159	0.268697463087378
Fam210a	1.62464950302151e-05	0.155148730436483	0.131	0.068	0.269139436670543
Pik3r1	1.63048819953385e-05	0.230155924855086	0.517	0.402	0.270106675134777
Ccr7	1.63728938444324e-05	0.891457757167609	0.203	0.131	0.271233359426868
Psmd13	1.64338540209412e-05	0.206991551778789	0.503	0.407	0.272243225710912
Pabpc4	1.65288044747202e-05	0.122806737483678	0.152	0.082	0.273816174928215
Golim4	1.65961001937691e-05	0.160064942100545	0.174	0.101	0.274930995809979
Snhg16	1.6637485324768e-05	-0.166737852675475	0.126	0.194	0.275616581890107
Smarca5	1.70025522188888e-05	0.20811170935527	0.683	0.604	0.281664280058112
Lsp1	1.72789526075727e-05	-0.203110562600034	0.875	0.905	0.286243128897049
Ccnd3	1.728535108009e-05	-0.232226798886443	0.514	0.582	0.286349125992772
Grap2	1.75249024350799e-05	-0.266870002654894	0.466	0.53	0.290317533739534
Ppig	1.75669878364457e-05	0.246947537796499	0.606	0.509	0.291014720498559
Psmb6	1.75731052398058e-05	0.178680779867584	0.703	0.647	0.291116061402623
Kctd12	1.76210931889075e-05	0.135077721359174	0.213	0.131	0.291911029767441
Akna	1.77805082800531e-05	-0.251449260767259	0.239	0.308	0.29455190016736
Acot9	1.79777097062047e-05	0.200495378880114	0.24	0.156	0.297818738992986
Rab8b	1.81294907832878e-05	0.199836543772605	0.689	0.593	0.300333144315946
Acadl	1.81597492349238e-05	0.199141011440433	0.522	0.407	0.300834405825747
Cd226	1.82023053620864e-05	-0.372225613078156	0.406	0.456	0.301539390628323
Fam3c	1.82728096533992e-05	0.212208175223628	0.306	0.218	0.302707364718211
Per1	1.83314517677252e-05	-0.253042994483778	0.229	0.306	0.303678829984136
Tor1aip1	1.83745180068743e-05	-0.2608146000737	0.61	0.656	0.30439226530188
Foxo1	1.85477857296464e-05	0.296283154787868	0.486	0.397	0.307262618397322
Cd27	1.8883847287642e-05	0.334168849130326	0.489	0.407	0.312829814167077
Ms4a6c	1.8970454980009e-05	-0.237303265630721	0.184	0.259	0.314264557198829
Luzp1	1.90138720740325e-05	0.158845507506162	0.174	0.099	0.314983804778423
Ssr2	1.96340853069197e-05	0.154067977023522	0.545	0.457	0.325258257194431
Rp9	1.97899240010773e-05	0.168057756906164	0.571	0.457	0.327839881001846
Ndufv1	2.0030193868375e-05	0.176738252122488	0.38	0.276	0.331820191623501
Rrp1	2.00408402962657e-05	0.218658182057606	0.522	0.427	0.331996560347937
Kpna4	2.00517718709059e-05	-0.189882632974633	0.613	0.67	0.332177652813427
Sin3b	2.01034486371921e-05	0.163931128053842	0.721	0.662	0.333033730123725
Arhgef1	2.04370983187384e-05	-0.216691547906467	0.594	0.647	0.33856097074822
Gm15013	2.06219474801522e-05	0.172166493652137	0.196	0.121	0.341623181956202
Emc2	2.10170165240546e-05	0.129409478895239	0.332	0.235	0.348167895737489
Irf2	2.11869242158981e-05	-0.256851740926748	0.494	0.557	0.350982586560567
Tmem238	2.14250225528849e-05	0.0984767112164665	0.156	0.085	0.354926923611091
Ifih1	2.14414072526748e-05	-0.250047751011366	0.245	0.323	0.355198352547811
Supt6	2.16728512784345e-05	0.153201028423813	0.31	0.215	0.359032454278545
Fam53b	2.18807783159115e-05	-0.197191465330279	0.129	0.196	0.36247697358139
Clec4d	2.20679154077472e-05	-0.217643536542288	0.078	0.132	0.365577086644739
Cd96	2.21846764747322e-05	0.235673048602978	0.436	0.344	0.367511350480413
Zfand2a	2.21876573244193e-05	-0.186102632050749	0.083	0.139	0.36756073123633
Toe1	2.26089206171114e-05	0.120941635375071	0.158	0.088	0.374539378943067
Mfsd6	2.29667658100181e-05	0.209202591614995	0.266	0.18	0.38046744240876
Ppp1r18	2.30118243582259e-05	-0.279829827011665	0.56	0.607	0.38121388231837
Sec61g	2.31636251433713e-05	-0.208365504274022	0.804	0.842	0.383728614125089
Riok2	2.32337700984326e-05	0.113476851162485	0.181	0.107	0.384890635450635
Tkt	2.34254201082265e-05	0.196461856721458	0.569	0.484	0.388065509512881
Lap3	2.34663960193506e-05	0.144463816731407	0.171	0.099	0.388744316456562
Cenpa	2.37861977440682e-05	0.172139901297881	0.452	0.342	0.394042151828234
Cisd2	2.38376807868572e-05	0.165289376236574	0.546	0.429	0.394895019915076
Nsun2	2.38647726246109e-05	0.161224094034137	0.245	0.161	0.395343823299304
Pwp1	2.4369019806018e-05	0.122687309256622	0.154	0.085	0.403697182106494
Cfap20	2.43730196403744e-05	0.205695267813449	0.253	0.17	0.403763443362442
Trat1	2.48388117833221e-05	-0.196983320574137	0.085	0.144	0.411479756002514
Creg1	2.52075870718824e-05	0.126442460894398	0.225	0.14	0.417588887432804
Rc3h1	2.5353460086517e-05	0.236689377629894	0.302	0.216	0.420005419793241
Rad54l2	2.53991768677588e-05	0.120513866473699	0.211	0.131	0.420762763991292
Slc9a3r1	2.55298380440397e-05	0.21278785333936	0.757	0.683	0.422927297037562
Atp5mpl	2.58446554394075e-05	-0.212055261740134	0.668	0.732	0.428142562009224
Galnt11	2.58898378803332e-05	0.166087269120302	0.186	0.112	0.428891054325599
Arih2	2.59157040847056e-05	0.216533495196832	0.355	0.26	0.429319553867233
Lpgat1	2.60010609478207e-05	0.122930123983654	0.151	0.084	0.430733575661597
Atg7	2.6340657856267e-05	0.145817438102309	0.208	0.128	0.43635933804692
Tnfsf9	2.65137522895277e-05	-0.302443777103495	0.075	0.128	0.439226820428315
X9130401M01Rik	2.6674626700694e-05	0.185336066460108	0.243	0.162	0.441891865923697
Pxn	2.68847308924915e-05	-0.189103584292272	0.185	0.256	0.445372451965015
Abcb9	2.70857973404593e-05	0.224719428500603	0.436	0.339	0.448703318742048
Mrpl35	2.71816719685028e-05	0.187321516129376	0.338	0.246	0.450291577830217
Gbp4	2.73455840626362e-05	-0.39517667132512	0.425	0.479	0.453006945581631
Arl3	2.74259188595603e-05	0.127545711774671	0.207	0.128	0.454337771827476
X4930453N24Rik	2.75804791029074e-05	-0.284464609125604	0.347	0.418	0.456898216818763
Alad	2.75990422946333e-05	0.168845808872069	0.233	0.153	0.457205734652896
Socs3	2.77645705015777e-05	-0.33014567465862	0.485	0.552	0.459947874929136
Scnm1	2.77946900452992e-05	-0.152560008504987	0.123	0.188	0.460446835290427
Dock10	2.78574440973343e-05	0.160334431146337	0.736	0.642	0.461486418916439
Nudt5	2.81404005105598e-05	0.15111747057422	0.285	0.197	0.466173874857934
Psma2	2.82592068116147e-05	0.143987272462975	0.848	0.826	0.46814202004121
Gnl2	2.85760293323161e-05	0.141509428278232	0.242	0.158	0.473390501919148
Rab5c	2.85860951442644e-05	-0.24928016883485	0.519	0.58	0.473557252159884
Cr1l	2.98193642629728e-05	0.212930199229926	0.504	0.401	0.493987588380408
Pabpc1	3.00377909096693e-05	0.134335321972427	0.952	0.934	0.497606044209581
Ccny	3.01113391561984e-05	0.173439708100648	0.302	0.207	0.498824444461582
Pum3	3.02098304334207e-05	0.139817667677721	0.209	0.131	0.500456050960047
Selenos	3.05687888271686e-05	0.224506122723929	0.548	0.453	0.506402555710875
Sacs	3.07239295954713e-05	0.208975817779924	0.182	0.112	0.508972617678577
Mlec	3.09022873797914e-05	0.168922081480613	0.353	0.262	0.511927292733625
Gpr89	3.10131642432611e-05	0.145040379609461	0.116	0.058	0.513764078853863
Aig1	3.10291708593712e-05	0.20312856125989	0.186	0.114	0.514029244456343
Ctsw	3.10637555282518e-05	0.182174800086968	0.814	0.752	0.514602174081019
Arhgap45	3.10984579026591e-05	-0.209942110780859	0.632	0.685	0.515177053615451
Golt1b	3.11551033937665e-05	0.173300338408343	0.306	0.213	0.516115442821136
Tpm1	3.21778836334711e-05	0.153810644557459	0.189	0.115	0.533058820272083
Smad7	3.26487042591618e-05	-0.155485522244744	0.919	0.905	0.540858434757274
Gnai3	3.32579218759664e-05	0.185782023424912	0.52	0.413	0.550950733797259
Psmc1	3.36050335314674e-05	0.159706177746585	0.264	0.177	0.556700985482289
Eml4	3.43621866733769e-05	0.161154330020601	0.369	0.274	0.569243984431161
Prkd2	3.46174465495762e-05	-0.183627086496471	0.138	0.205	0.57347261954028
Ncoa7	3.46871121659459e-05	-0.273097384315697	0.184	0.252	0.57462670014106
Trp53i11	3.47272694401407e-05	-0.17021717112382	0.183	0.254	0.575291945545371
Cd74	3.49413041119523e-05	0.210197977259936	0.625	0.522	0.578837643918601
Psma7	3.51016431924218e-05	0.169833659120166	0.792	0.748	0.581493821125659
Spint2	3.56613065208462e-05	0.160117546490649	0.308	0.215	0.590765203824339
Adamts6	3.6358779876861e-05	0.125108317929046	0.11	0.054	0.602319547440079
Azin1	3.65387846559137e-05	0.233986339325031	0.457	0.366	0.605301506609867
Lpar6	3.68979006893937e-05	-0.150849488811841	0.065	0.115	0.611250622820497
Dnajb2	3.70519821210821e-05	0.131894968793676	0.129	0.068	0.613803135817846
Oat	3.79220185898603e-05	0.200193565451067	0.289	0.2	0.628216159959625
Swap70	3.82231332140123e-05	0.189365495984227	0.154	0.088	0.633204424823327
Cox7a2l	3.83361216161354e-05	0.142499290455289	0.865	0.83	0.635076190692899
Mtx2	3.86643910519962e-05	0.111756552940883	0.196	0.12	0.640514302167369
Tox	3.88693050238349e-05	-0.465373429776188	0.347	0.401	0.643908907024849
Hgsnat	3.89442013881682e-05	0.12775052290935	0.147	0.082	0.645149640196394
Amfr	3.95366969562678e-05	0.166285939757203	0.285	0.199	0.654964921777533
Atp5j	3.95663469970706e-05	0.16228463912213	0.853	0.82	0.655456104353471
Ndufv3	3.97065601262574e-05	-0.215260957068481	0.639	0.675	0.65777887505158
Marc2	3.98452158179952e-05	0.21256836449743	0.497	0.402	0.660075845240908
Hsp90aa1	3.99928360988526e-05	-0.563595367805218	0.954	0.926	0.662521322813592
Ifi204	4.02108826331132e-05	-0.411569641718505	0.288	0.363	0.666133481700154
Cln3	4.0362654917351e-05	-0.233489872922694	0.112	0.17	0.668647741360836
Dynlt3	4.0523439251366e-05	0.134280370792492	0.209	0.131	0.671311294638129
Ufm1	4.07539619597624e-05	0.150606706397127	0.425	0.326	0.675130133825424
Herc6	4.08552377089179e-05	-0.21797320239808	0.414	0.492	0.676807867885933
Fdx1	4.09341223978071e-05	0.154906087669567	0.322	0.23	0.678114671642072
St3gal6	4.11775603689395e-05	-0.199354286832017	0.175	0.248	0.682147465071851
Mrpl20	4.13194771017708e-05	0.167974750107613	0.564	0.487	0.684498457667935
Zeb2	4.15030011120633e-05	0.161969796901757	0.325	0.23	0.68753871642244
Acsl5	4.17959464546703e-05	0.160292263438385	0.299	0.21	0.692391648968068
Tubb4b	4.23037040344282e-05	0.183890895351338	0.78	0.692	0.700803161034338
Fasn	4.26431443561522e-05	0.143971749677824	0.146	0.082	0.706426329404017
Pkn1	4.27620531382047e-05	-0.239205569504638	0.423	0.498	0.7083961722875
Madd	4.29933522824043e-05	0.255293219242183	0.363	0.267	0.71222787391031
Blcap	4.3295685619652e-05	0.114114004369452	0.127	0.066	0.717236327975155
Ube2j1	4.42628437424559e-05	0.241931811045814	0.47	0.375	0.733258269437524
Gorasp2	4.4303653367023e-05	0.139241838945921	0.267	0.18	0.733934321678103
Vdac3	4.4379706596723e-05	0.187881582345208	0.525	0.432	0.735194219481313
Eif4b	4.43840874158043e-05	0.167974118258868	0.45	0.35	0.735266792130213
Osgep	4.43889489534675e-05	0.156683099952164	0.292	0.205	0.735347328363143
Arhgef18	4.47044305875965e-05	-0.221391173796165	0.125	0.188	0.740573597114124
Nrip1	4.47157699584983e-05	0.313827469185341	0.497	0.394	0.740761445132482
Npepl1	4.48147993657901e-05	0.12825754353154	0.229	0.15	0.742401966293679
Ifnar2	4.48862333987037e-05	-0.237020622339731	0.355	0.427	0.743585342482926
Tmsb4x	4.54824433701849e-05	0.110067017885909	1	1	0.753462156870483
Fam193a	4.6551624313331e-05	0.176394937890299	0.277	0.192	0.771174208374642
Lilrb4a	4.6925393327119e-05	-0.363063754838999	0.429	0.487	0.777366065857053
Rab2a	4.7007589152031e-05	0.182185480049346	0.695	0.607	0.778727721892545
Usp38	4.76204569212103e-05	0.142797087384837	0.345	0.243	0.78888048935677
Rnf157	4.77069938312876e-05	0.266507325040565	0.361	0.273	0.79031405980911
Gimap8	4.7888703727396e-05	-0.224749923892239	0.344	0.423	0.793324265948042
Plod2	4.82452241547841e-05	0.115154903016857	0.125	0.066	0.799230383348153
Rtcb	4.86302545298072e-05	0.148786606624167	0.349	0.254	0.805608796540786
Pml	4.89686629858461e-05	-0.262627084852037	0.271	0.349	0.811214871023527
Fam189b	4.95392702540791e-05	-0.235577543244373	0.276	0.35	0.820667551029074
Ppp1r16b	5.07472126674486e-05	0.182769615881357	0.749	0.659	0.840678325048954
Actb	5.11182633382525e-05	-0.136472549942903	0.999	1	0.84682515046149
Cnot6l	5.14907945458681e-05	-0.144957533159812	0.613	0.669	0.852996502446851
Metrnl	5.15364633361295e-05	0.183423838214845	0.394	0.297	0.853753051626322
Larp4b	5.21096515759764e-05	0.149802858546367	0.364	0.268	0.863248488007624
Atp1b1	5.40006178227174e-05	0.166086013616933	0.139	0.077	0.894574234851137
Birc2	5.47326863226364e-05	0.221714944291591	0.582	0.497	0.906701681620795
Wdr83os	5.48909147156589e-05	0.172854372113197	0.498	0.388	0.909322893179605
Tmem19	5.49241894770154e-05	0.0929099720027879	0.116	0.058	0.909874122876237
Rexo2	5.73518688928212e-05	0.188074931509292	0.488	0.394	0.950091060078475
Xrn2	5.76375954560328e-05	-0.195668940461328	0.606	0.659	0.954824406324639
Ndufb9	5.78173376000344e-05	0.178185116189876	0.749	0.711	0.95780201468217
Katnbl1	5.80845605826658e-05	0.128899594734066	0.202	0.128	0.962228830612442
Ddx1	5.81083900081813e-05	0.0863745535220619	0.192	0.115	0.962623588875532
Yif1a	5.82094421528498e-05	0.116850203362316	0.178	0.107	0.96429761870411
Txndc11	5.97994076609146e-05	0.14906298770292	0.205	0.131	0.990636987310712
Atp6v0d1	5.98352869056469e-05	0.155705151032837	0.387	0.29	0.991231362878947
Trerf1	5.98554967946557e-05	-0.129735754877157	0.069	0.121	0.991566159900266
Cables2	6.160767336236e-05	0.113593600556358	0.121	0.063	1
Abce1	6.21806811994813e-05	0.129040968208403	0.245	0.162	1
Havcr2	6.22886398919642e-05	0.247626017845095	0.202	0.132	1
Fam214b	6.2903238001543e-05	0.139258404490757	0.125	0.066	1
Rnasek	6.29702515225507e-05	-0.201618878900149	0.731	0.773	1
Nap1l1	6.32262292966661e-05	0.244216532891956	0.646	0.577	1
Tdg	6.33502199207987e-05	0.115220029735737	0.204	0.128	1
Paip2	6.4250760877186e-05	0.171059966888147	0.741	0.637	1
Bet1l	6.43807778534375e-05	0.157799918405033	0.329	0.237	1
Gbp9	6.48841123903387e-05	-0.2175868941645	0.339	0.413	1
Ddost	6.53395343434257e-05	0.179271260825687	0.536	0.445	1
Rnf103	6.56460007237112e-05	0.118838731560188	0.158	0.091	1
Spsb1	6.57826982580956e-05	0.151565895315132	0.17	0.101	1
Sfpq	6.58786753642236e-05	0.178314729909986	0.812	0.767	1
Prkca	6.60656306578217e-05	0.249900256647165	0.472	0.374	1
Slc48a1	6.6548524802054e-05	0.118863265612085	0.182	0.11	1
Ywhab	6.77441870107191e-05	0.182286466760246	0.658	0.565	1
Gar1	6.78082629673971e-05	0.170395824517495	0.284	0.205	1
Ktn1	6.84544335008906e-05	0.136666340503796	0.201	0.128	1
Larp7	6.86557100121938e-05	0.174223957865796	0.283	0.2	1
Eif3b	7.07988240024799e-05	0.180676584752052	0.37	0.287	1
Ipcef1	7.08820967469763e-05	-0.183511061349672	0.204	0.279	1
Rbbp8	7.11153636965894e-05	0.28177199644448	0.372	0.292	1
Hspa2	7.12741768324222e-05	0.147826833133983	0.124	0.066	1
Msantd2	7.16101048909054e-05	0.1213700456245	0.114	0.058	1
Sec61a2	7.18953940603297e-05	0.139158478478789	0.1	0.049	1
Cldnd1	7.23660054222541e-05	0.233351917068473	0.378	0.285	1
Xpnpep1	7.27600643548866e-05	0.138445534655554	0.197	0.126	1
Tubb2a	7.31475439780887e-05	0.155991803873531	0.187	0.117	1
Mirt1	7.3594405443288e-05	-0.197687861467633	0.114	0.174	1
Ykt6	7.36180008256822e-05	0.126983050030183	0.226	0.148	1
Cnn2	7.46676349040533e-05	-0.184922618781113	0.733	0.757	1
Abi3	7.56692883706977e-05	-0.202436183355633	0.154	0.218	1
Ikbke	7.60012614598854e-05	-0.130835239044908	0.062	0.109	1
Sfr1	7.62400896942091e-05	0.147984502368847	0.711	0.634	1
Ddb1	7.65401991550458e-05	0.167172039740854	0.293	0.211	1
Nek6	7.67505385729294e-05	0.117403196567265	0.128	0.069	1
Gart	7.71002821727796e-05	0.113300639198129	0.136	0.076	1
Zdhhc21	7.73807762128849e-05	0.12315827636528	0.183	0.114	1
Slamf1	7.78274400994472e-05	-0.299940951936551	0.122	0.18	1
P4hb	7.81329574466956e-05	0.150872705892048	0.481	0.377	1
Orc4	7.89142463362143e-05	-0.217608641500885	0.246	0.312	1
Uba6	7.90835498572298e-05	0.131748417013771	0.18	0.11	1
Atp6v1g1	7.92230092224306e-05	-0.206000773085354	0.669	0.703	1
Josd1	8.0559715503908e-05	0.168607024177295	0.178	0.11	1
Rell1	8.10104192340142e-05	0.187511326806195	0.186	0.117	1
Gm11707	8.15448717890533e-05	-0.165581609496799	0.061	0.107	1
Dtd1	8.15846990805978e-05	0.154004607671784	0.204	0.131	1
Camk4	8.17729830870031e-05	0.146754652206678	0.308	0.216	1
Pbx3	8.39651470192397e-05	0.101750261315652	0.114	0.058	1
Gm2682	8.40534958833675e-05	-0.254508194292131	0.184	0.249	1
Trappc13	8.42063853955483e-05	0.121667192291683	0.134	0.076	1
Zswim6	8.48995871675339e-05	0.166749053863345	0.262	0.178	1
Dcaf5	8.52754599961345e-05	-0.175912505693206	0.112	0.169	1
Dpm3	8.53113290682746e-05	-0.249779765887061	0.386	0.446	1
Nenf	8.54983229070952e-05	0.128690420184638	0.221	0.145	1
Braf	8.58416717605169e-05	0.21317788601246	0.252	0.175	1
Map1s	8.68037053689953e-05	0.145580603631813	0.153	0.09	1
Ubxn2a	8.72903767226975e-05	0.201954880821727	0.346	0.259	1
Togaram1	8.78130974758434e-05	0.109739424221298	0.157	0.091	1
Ccnc	8.83513074403799e-05	0.116955903219936	0.246	0.164	1
Ltv1	8.89828810395795e-05	0.164657480101482	0.207	0.134	1
Ifi35	8.91254431920483e-05	-0.213766801851352	0.626	0.685	1
Ldlrad4	9.15035211747012e-05	0.262297576177571	0.354	0.271	1
Mrpl28	9.17028799607607e-05	0.170927326167021	0.312	0.227	1
Ola1	9.36590938052739e-05	0.192208961253523	0.437	0.353	1
Clptm1l	9.40921723825351e-05	0.127246576347293	0.376	0.281	1
